2016-11-22 11:33:28 TZ=UTC UT=1479814408 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0xF0 V_A1=0.77  V_A2=2.64  [ADDR=133.199 SEQ=31 RSSI=24 LQI=255 DRP=109.84]
2016-11-22 11:33:28 TZ=UTC UT=1479814408 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0xF0 V_A1=0.77  V_A2=2.64  [ADDR=133.199 SEQ=30 RSSI=11 LQI=255 DRP=146.13]
2016-11-22 11:34:05 TZ=UTC UT=1479814445 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x12C V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=30 LQI=255 DRP=109.84]
2016-11-22 11:34:05 TZ=UTC UT=1479814445 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x12C V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=10 LQI=255 DRP=146.13]
TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x168 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=24 LQI=255 DRP=109.84]
TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x168 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=11 LQI=255 DRP=146.13]
2016-11-22 11:36:05 TZ=UTC UT=1479814565 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x1A4 V_A1=0.75  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=26 LQI=255 DRP=109.84]
2016-11-22 11:37:05 TZ=UTC UT=1479814625 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x1E0 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=27 LQI=255 DRP=94.39]
2016-11-22 11:37:05 TZ=UTC UT=1479814625 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x1E0 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=6 LQI=255 DRP=134.54]
2016-11-22 11:17:26 TZ=UTC UT=1479813446 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x294 V_A1=0.75  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=27 LQI=255 DRP=1.00]
2016-11-22 11:17:26 TZ=UTC UT=1479813446 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x294 V_A1=0.75  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=3 LQI=255 DRP=64.50]
2016-11-22 11:19:47 TZ=UTC UT=1479813587 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x2D0 V_A1=0.74  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=33 LQI=255 DRP=75.41]
2016-11-22 11:19:47 TZ=UTC UT=1479813587 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x2D0 V_A1=0.74  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=5 LQI=255 DRP=120.30]
2016-11-22 11:19:47 TZ=UTC UT=1479813587 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x30C V_A1=0.74  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=24 LQI=255 DRP=67.92]
2016-11-22 11:47:01 TZ=UTC UT=1479815221 GW_LAT=32.57100 GW_LON=0.32920 &: TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x3C0 V_A1=0.74  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=4 LQI=255 DRP=1.00]
2016-11-22 11:47:01 TZ=UTC UT=1479815221 GW_LAT=32.57100 GW_LON=0.32920 &:  TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x3FC V_A1=0.74  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=30 LQI=255 DRP=0.81]
2016-11-22 11:47:01 TZ=UTC UT=1479815221 GW_LAT=32.57100 GW_LON=0.32920 &:  TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x3FC V_A1=0.74  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=4 LQI=255 DRP=64.35]
2016-11-22 11:49:10 TZ=UTC UT=1479815350 GW_LAT=32.57100 GW_LON=0.32920 &: "TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x438 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=30 LQI=255 DRP=75.35]
2016-11-22 11:49:10 TZ=UTC UT=1479815350 GW_LAT=32.57100 GW_LON=0.32920 &: "TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x438 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=4 LQI=255 DRP=120.26]
2016-11-22 11:49:10 TZ=UTC UT=1479815350 GW_LAT=32.57100 GW_LON=0.32920 &: $TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x474 V_A1=0.74  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=30 LQI=255 DRP=98.93]
2016-11-22 11:49:10 TZ=UTC UT=1479815350 GW_LAT=32.57100 GW_LON=0.32920 &: $TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x474 V_A1=0.74  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=5 LQI=255 DRP=137.94]
2016-11-22 11:51:20 TZ=UTC UT=1479815480 GW_LAT=32.57100 GW_LON=0.32920 &: &TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x4B0 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=31 LQI=255 DRP=106.39]
2016-11-22 11:51:20 TZ=UTC UT=1479815480 GW_LAT=32.57100 GW_LON=0.32920 &: &TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x4B0 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=5 LQI=255 DRP=143.54]
2016-11-22 11:51:20 TZ=UTC UT=1479815480 GW_LAT=32.57100 GW_LON=0.32920 &: (TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x4EC V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=30 LQI=255 DRP=108.75]
2016-11-22 11:51:20 TZ=UTC UT=1479815480 GW_LAT=32.57100 GW_LON=0.32920 &: (TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x4EC V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=5 LQI=255 DRP=145.31]
2016-11-22 11:51:21 TZ=UTC UT=1479815481 GW_LAT=32.57100 GW_LON=0.32920 &: *TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x528 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=30 LQI=255 DRP=109.50]
2016-11-22 11:51:21 TZ=UTC UT=1479815481 GW_LAT=32.57100 GW_LON=0.32920 &: *TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x528 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=1 LQI=255 DRP=145.87]
2016-11-22 11:53:32 TZ=UTC UT=1479815612 GW_LAT=32.57100 GW_LON=0.32920 &: ,TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x564 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=30 LQI=255 DRP=82.24]
2016-11-22 11:53:32 TZ=UTC UT=1479815612 GW_LAT=32.57100 GW_LON=0.32920 &: ,TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x564 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=2 LQI=255 DRP=125.42]
2016-11-22 11:53:32 TZ=UTC UT=1479815612 GW_LAT=32.57100 GW_LON=0.32920 &: .TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x5A0 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=28 LQI=255 DRP=101.11]
2016-11-22 11:55:41 TZ=UTC UT=1479815741 GW_LAT=32.57100 GW_LON=0.32920 &: 0TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x5DC V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=28 LQI=255 DRP=90.71]
